States/UTs,Motorised two Wheeler - Number of Road Accidents - Fatal,Motorised two Wheeler - Number of Road Accidents - Total,Motorised two Wheeler - Number of Persons - Killed,Motorised two Wheeler - Number of Persons - Grievously Injured,Motorised two Wheeler - Number of Persons - Minor Injured,Auto rickshaw - Number of Road Accidents - Fatal,Auto rickshaw - Number of Road Accidents - Total,Auto rickshaw - Number of Persons - Killed,Auto rickshaw - Number of Persons - Grievously Injured,Auto rickshaw - Number of Persons - Minor Injured,car/Jeep/Van/Taxi - Number of Road Accidents - Fatal,car/Jeep/Van/Taxi - Number of Road Accidents - Total,car/Jeep/Van/Taxi - Number of Persons - Killed,car/Jeep/Van/Taxi - Number of Persons - Grievously Injured,car/Jeep/Van/Taxi - Number of Persons - Minor Injured,Bus - Number of Road Accidents - Fatal,Bus - Number of Road Accidents - Total,Bus - Number of Persons - Killed,Bus - Number of Persons - Grievously Injured,Bus - Number of Persons - Minor Injured,Truck/Lorry - Number of Road Accidents - Fatal,Truck/Lorry - Number of Road Accidents - Total,Truck/Lorry - Number of Persons - Killed,Truck/Lorry - Number of Persons - Grievously Injured,Truck/Lorry - Number of Persons - Minor Injured,Heavy Articilated Vehicle/ Trolly - Number of Road Accidents - Fatal,Heavy Articilated Vehicle/ Trolly - Number of Road Accidents - Total,Heavy Articilated Vehicle/ Trolly - Number of Persons - Killed,Heavy Articilated Vehicle/ Trolly - Number of Persons - Grievously Injured,Heavy Articilated Vehicle/ Trolly - Number of Persons - Minor Injured,Tempo/Tractor - Number of Road Accidents - Fatal,Tempo/Tractor - Number of Road Accidents - Total,Tempo/Tractor - Number of Persons - Killed,Tempo/Tractor - Number of Persons - Grievously Injured,Tempo/Tractor - Number of Persons - Minor Injured,Bicycle - Number of Road Accidents - Fatal,Bicycle - Number of Road Accidents - Total,Bicycle - Number of Persons - Killed,Bicycle - Number of Persons - Grievously Injured,Bicycle - Number of Persons - Minor Injured,Cycle Rickshaw - Number of Road Accidents - Fatal,Cycle Rickshaw - Number of Road Accidents - Total,Cycle Rickshaw - Number of Persons - Killed,Cycle Rickshaw - Number of Persons - Grievously Injured,Cycle Rickshaw - Number of Persons - Minor Injured,Hand Drawn Cart - Number of Road Accidents - Fatal,Hand Drawn Cart - Number of Road Accidents - Total,Hand Drawn Cart - Number of Persons - Killed,Hand Drawn Cart - Number of Persons - Grievously Injured,Hand Drawn Cart - Number of Persons - Minor Injured
Andhra Pradesh,2286,9409,2343,2143,5569,777,3583,817,1205,4082,1161,4531,1258,1527,4185,519,1546,597,499,1579,1452,3862,1598,1017,2938,79,168,88,41,119,617,1330,654,409,1147,16,63,19,9,52,3,7,3,0,6,0,0,0,0,0
Arunachal Pradesh,30,62,32,46,21,9,21,9,21,16,22,46,23,51,31,6,14,6,19,11,7,15,7,6,10,0,0,0,0,0,5,14,5,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,756,2125,772,1234,333,111,480,149,433,97,587,1864,656,1295,288,188,598,244,719,135,398,990,452,516,118,58,159,83,93,42,146,373,142,291,53,79,176,121,111,20,8,22,12,12,6,2,3,3,4,2
Bihar,1199,2035,1318,885,334,318,631,372,366,187,777,1381,831,784,294,511,998,592,562,328,827,1292,881,508,184,205,338,222,131,46,589,1097,653,603,271,111,226,117,79,35,65,136,71,60,25,27,50,27,15,2
Chhattisgarh,1314,4696,1386,760,3252,59,434,52,61,331,503,2534,563,383,2249,166,666,188,173,700,597,2033,637,267,1203,163,504,172,90,352,277,707,310,168,578,33,80,36,10,40,1,1,1,0,0,1,2,0,0,1
Goa,155,1567,164,186,850,0,5,0,0,1,76,1474,82,146,411,23,419,27,23,168,40,296,43,39,41,1,19,1,1,3,6,112,6,4,37,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0
Gujarat,2038,6086,2190,2573,2565,433,1685,498,658,890,1634,4963,1713,2160,2225,252,825,293,516,460,1021,2430,1125,1065,939,117,366,142,190,142,515,1296,548,686,598,84,218,94,86,96,39,127,43,61,81,27,68,27,23,30
Haryana,954,2528,1006,700,1591,103,342,113,70,332,1204,3265,1310,650,2486,224,503,270,100,423,819,1664,828,264,1229,230,542,312,177,336,420,920,434,161,724,51,131,55,17,92,10,32,14,7,22,6,12,8,0,9
Himachal Pradesh,232,815,336,650,881,6,15,7,3,33,430,1469,519,480,1862,53,175,136,95,704,87,387,98,93,285,0,1,0,0,3,49,141,54,45,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,137,1093,142,595,563,6,80,6,64,58,155,1462,226,910,1052,63,389,95,570,498,94,629,99,311,276,17,96,20,76,54,43,250,63,260,112,4,27,4,4,32,0,0,0,0,0,0,0,0,0,0
Jharkhand,1059,1718,1065,898,241,188,377,180,337,44,361,618,383,428,79,101,223,146,258,65,477,670,478,236,34,95,162,101,119,16,211,388,223,250,56,67,150,64,49,19,28,71,57,32,15,10,29,48,20,3
Karnataka,3821,15752,4029,7665,10166,430,2415,481,1556,2143,1850,10286,2120,5705,7402,719,3239,801,1935,3488,1342,5333,1478,2870,3336,66,318,70,101,220,810,2885,900,1567,2480,8,42,13,24,22,0,0,0,0,0,0,0,0,0,0
Kerala,1349,14821,1371,11965,3340,297,4402,303,3621,1453,947,11298,1001,8902,4478,544,3766,608,2331,2092,464,2186,510,1410,851,115,432,117,202,93,199,1565,221,1302,631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,2855,21458,3035,2682,19580,227,2707,247,374,2850,1920,11557,2143,1449,11171,495,2908,591,460,4221,1749,6750,2019,826,5399,297,987,338,90,806,986,3328,1051,491,3485,16,149,17,16,225,0,10,0,0,28,3,27,3,3,34
Maharashtra,3787,11869,4114,6590,3645,580,2331,672,1524,849,1731,7470,1928,4693,2725,537,1869,628,1607,1026,1640,4542,1770,1994,1379,612,1424,645,648,290,895,2439,979,1447,724,90,259,90,99,88,32,76,32,20,32,12,46,25,12,33
Manipur,15,141,15,35,188,3,36,3,18,72,37,244,39,71,379,6,11,18,40,21,35,111,39,41,71,2,3,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meghalaya,31,117,30,41,14,9,50,17,16,9,60,220,52,75,22,6,72,12,46,11,9,51,19,9,16,9,45,16,11,9,9,49,18,17,7,1,14,9,2,3,1,10,7,2,4,0,0,0,0,0
Mizoram,9,10,11,3,5,1,1,1,0,0,18,24,20,19,16,5,5,5,0,0,21,27,22,5,7,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nagaland,11,128,11,33,49,1,67,1,28,45,6,157,7,24,83,2,66,2,4,30,12,107,15,29,46,0,0,0,0,0,1,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Odisha,1649,3886,1744,2009,1370,172,562,187,401,481,827,2161,919,1157,1182,157,431,184,362,319,808,2009,895,1024,988,162,356,174,184,169,246,550,270,313,351,63,135,64,55,52,2,7,3,3,4,0,0,0,0,0
Punjab,1565,2375,1666,1039,313,88,207,150,230,39,1019,1533,1084,860,271,252,415,242,278,136,509,729,556,294,117,154,278,209,182,58,178,279,199,156,58,211,265,204,135,7,124,143,116,20,8,4,8,2,2,0
Rajasthan,1976,5456,2146,1698,3299,120,402,182,178,394,2815,7206,3199,2199,5198,588,1534,773,510,1720,1889,3608,2041,931,2318,100,223,129,80,185,764,1662,833,402,1299,3,9,3,4,2,1,1,1,2,0,0,0,0,0,0
Sikkim,6,24,10,20,9,0,84,50,0,0,40,49,3,124,231,1,24,11,38,1,9,10,0,24,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tamil Nadu,5138,25393,5322,2414,23821,460,3000,478,296,3503,3583,18748,3994,2026,21466,1672,6034,1856,695,8272,2257,7373,2506,790,7034,64,196,64,33,149,770,2419,832,204,2522,151,459,152,35,339,0,0,0,0,0,9,33,9,0,42
Telangana,2128,7160,2244,549,6570,475,2263,514,247,3179,901,5455,998,372,5556,301,1209,337,117,1292,916,3099,1054,204,2871,32,89,35,2,80,368,818,388,71,817,21,64,21,12,33,3,5,3,2,1,0,3,0,0,6
Tripura,36,144,36,141,2,14,66,14,75,0,55,150,59,264,1,9,15,10,39,2,28,91,29,130,3,1,3,1,2,0,0,3,0,2,0,1,13,1,24,0,0,0,0,0,0,0,0,0,0,0
Uttarakhand,203,409,219,286,36,13,56,21,68,7,245,548,350,516,131,45,129,82,173,35,112,237,150,179,36,7,10,10,7,0,17,42,22,38,2,14,35,14,21,0,0,0,0,0,0,0,0,0,0,0
Uttar Pradesh,5364,11329,5805,5329,2333,833,2301,1080,1254,691,3502,7835,4115,3782,1467,1159,2577,1406,1576,618,2343,4645,2669,2426,780,609,1472,724,847,322,1015,2471,1198,1221,715,527,1265,562,649,315,167,468,184,203,151,26,108,33,46,30
West Bengal,983,2346,1067,1617,257,92,280,96,220,74,988,2705,1111,2108,468,299,948,347,1266,419,1078,2699,1225,1744,444,58,115,64,49,15,149,339,156,253,40,39,105,41,64,8,18,50,18,48,4,0,2,0,2,1
Andaman & Nicobar Islands,7,84,7,35,60,0,8,0,1,14,6,51,7,16,46,0,19,0,5,62,6,18,6,4,8,0,0,0,0,0,1,9,1,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chandigarh,14,41,14,0,35,7,23,7,1,19,56,213,59,5,185,9,18,9,0,16,7,21,8,1,17,0,1,0,0,2,4,12,4,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dadra & Nagar Haveli,10,15,10,9,0,3,3,3,12,0,2,10,5,14,3,2,2,2,0,0,9,12,9,1,0,4,6,4,4,0,1,6,1,9,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Daman & Diu,17,33,17,24,9,1,2,1,2,1,7,27,7,20,8,1,1,1,0,0,5,9,5,1,0,0,0,0,0,0,2,4,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Delhi,307,1700,311,305,1472,50,361,50,67,326,372,1921,373,295,1741,106,364,106,72,260,188,493,192,64,365,34,108,35,16,69,66,301,66,73,249,28,117,31,20,83,23,81,25,12,55,2,42,2,2,40
Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Puducherry,93,898,104,347,628,1,71,1,16,39,26,262,26,73,181,25,133,26,41,89,20,97,20,24,89,2,11,2,10,0,7,49,7,18,27,8,53,8,22,28,0,0,0,0,0,0,0,0,0,0
Total,41534,157723,44092,55506,93401,5887,29351,6762,13423,22259,27923,113737,31183,43583,79573,9046,32145,10651,15129,29201,21275,58525,23483,19347,33458,3293,8432,3780,3386,3586,9367,25861,10242,10480,17196,1627,4060,1741,1548,1593,525,1247,590,484,442,129,433,187,129,233
